t_s,setpoint,yaw,u,err,P,I,D,sat,height_m,motor_on
72.898,61.4,61.3,29.9,0.1,12.1,10.5,7.3,0,1.5,1
73.0,61.4,61.3,23.5,0.1,12.1,11.4,-0.0,0,1.5,1
73.091,61.4,61.3,24.5,0.1,12.1,12.4,-0.0,0,1.5,1
73.192,61.4,61.4,5.0,-0.0,-0.0,12.4,-7.3,0,1.5,1
73.294,61.4,61.4,12.4,-0.0,-0.0,12.4,-0.0,0,1.5,1
73.395,61.4,61.5,-8.0,-0.1,-12.1,11.4,-7.3,0,1.5,1
73.497,61.4,61.5,-1.7,-0.1,-12.1,10.5,-0.0,0,1.5,1
73.598,61.4,61.4,17.8,-0.0,-0.0,10.5,7.3,0,1.5,1
73.7,61.4,61.4,10.5,-0.0,-0.0,10.5,-0.0,0,1.5,1
73.791,61.4,61.4,10.5,-0.0,-0.0,10.5,-0.0,0,1.5,1
73.892,61.4,61.5,-9.9,-0.1,-12.1,9.5,-7.3,0,1.5,1
73.995,61.4,61.5,-3.6,-0.1,-12.1,8.6,-0.0,0,1.5,1
74.096,61.4,61.5,-4.5,-0.1,-12.1,7.6,-0.0,0,1.5,1
74.198,61.4,61.5,-5.5,-0.1,-12.1,6.7,-0.0,0,1.5,1
74.299,61.4,61.5,-6.4,-0.1,-12.1,5.7,-0.0,0,1.5,1
74.39,61.4,61.5,-7.4,-0.1,-12.1,4.8,-0.0,0,1.5,1
74.593,61.4,61.5,-8.3,-0.1,-12.1,3.8,-0.0,0,1.5,1
74.695,61.4,61.5,-9.3,-0.1,-12.1,2.9,-0.0,0,1.5,1
74.797,61.4,61.5,-10.2,-0.1,-12.1,1.9,-0.0,0,1.5,1
74.898,61.4,61.5,-11.2,-0.1,-12.1,1.0,-0.0,0,1.5,1
74.999,61.4,61.5,-12.1,-0.1,-12.1,-0.0,-0.0,0,1.5,1
75.091,61.4,61.5,-13.1,-0.1,-12.1,-1.0,-0.0,0,1.5,1
75.294,61.4,61.5,-14.0,-0.1,-12.1,-1.9,-0.0,0,1.5,1
75.395,61.4,61.5,-15.0,-0.1,-12.1,-2.9,-0.0,0,1.5,1
75.497,61.4,61.5,-15.9,-0.1,-12.1,-3.8,-0.0,0,1.5,1
75.598,61.4,61.5,-16.9,-0.1,-12.1,-4.8,-0.0,0,1.5,1
75.791,61.4,61.5,-17.8,-0.1,-12.1,-5.7,-0.0,0,1.5,1
75.994,61.4,61.5,-18.8,-0.1,-12.1,-6.7,-0.0,0,1.5,1
76.096,61.4,61.5,-19.7,-0.1,-12.1,-7.6,-0.0,0,1.5,1
76.197,61.4,61.5,-20.7,-0.1,-12.1,-8.6,-0.0,0,1.5,1
76.299,61.4,61.5,-21.6,-0.1,-12.1,-9.5,-0.0,0,1.5,1
76.4,61.4,61.5,-22.6,-0.1,-12.1,-10.5,-0.0,0,1.5,1
76.492,61.4,61.5,-23.5,-0.1,-12.1,-11.4,-0.0,0,1.5,1
76.593,61.4,61.5,-24.5,-0.1,-12.1,-12.4,-0.0,0,1.5,1
76.694,61.4,61.4,-5.0,-0.0,-0.0,-12.4,7.3,0,1.5,1
76.796,61.4,61.4,-12.4,-0.0,-0.0,-12.4,-0.0,0,1.5,1
76.897,61.4,61.4,-12.4,-0.0,-0.0,-12.4,-0.0,0,1.5,1
76.999,61.4,61.4,-12.4,-0.0,-0.0,-12.4,-0.0,0,1.5,1
77.1,61.4,61.4,-12.4,-0.0,-0.0,-12.4,-0.0,0,1.5,1
77.192,61.4,61.4,-12.4,-0.0,-0.0,-12.4,-0.0,0,1.5,1
77.396,61.4,61.3,8.0,0.1,12.1,-11.4,7.3,0,1.5,1
77.499,61.4,61.3,1.7,0.1,12.1,-10.5,-0.0,0,1.5,1
77.69,61.4,61.3,2.6,0.1,12.1,-9.5,-0.0,0,1.5,1
77.792,61.4,61.4,-16.9,-0.0,-0.0,-9.5,-7.3,0,1.5,1
77.893,61.4,61.4,-9.5,-0.0,-0.0,-9.5,-0.0,0,1.5,1
77.995,61.4,61.4,-9.5,-0.0,-0.0,-9.5,-0.0,0,1.5,1
78.096,61.4,61.4,-9.5,-0.0,-0.0,-9.5,-0.0,0,1.5,1
