# fecha: 2026-07-16 19:27:34
# modo: VUELO
# fin: plan
# Ts_nominal_s: 0.1 (OSD 0x03/0x43 ~9.9Hz; dt real en la hoja raw)
# signo: u_cmd + = DERECHA = yaw sube
# stick_enviado: 1024 + u_cmd (canal ch3)
# fase_A_niveles: 100,200,300,400,500,660
# fase_A_secs: 3.0
# prbs: 7-bit m-seq, 127 bits, bit=0.30s, bias=0, amp=660
t_s,u_cmd,phase,yaw_deg,yaw_unwrap_deg,height_m,motor_on,volt_mv
24.8846,-100,STEP-100,61.3,421.3,1.5,1,7949
24.9353,-100,STEP-100,61.0,421.0,1.5,1,7949
25.0966,-100,STEP-100,60.6,420.6,1.5,1,7949
25.1926,-100,STEP-100,60.3,420.3,1.5,1,7949
25.2927,-100,STEP-100,59.9,419.9,1.5,1,7949
25.3929,-100,STEP-100,59.5,419.5,1.5,1,7949
25.4932,-100,STEP-100,59.2,419.2,1.5,1,7949
25.5847,-100,STEP-100,58.8,418.8,1.5,1,7949
25.686,-100,STEP-100,58.5,418.5,1.5,1,7949
25.7873,-100,STEP-100,58.1,418.1,1.5,1,7949
25.8924,-100,STEP-100,57.8,417.8,1.5,1,7950
25.994,-100,STEP-100,57.4,417.4,1.5,1,7950
26.0937,-200,STEP-200,57.0,417.0,1.5,1,7950
26.1935,-200,STEP-200,56.1,416.1,1.5,1,7950
26.2841,-200,STEP-200,55.2,415.2,1.5,1,7950
26.3856,-200,STEP-200,54.2,414.2,1.5,1,7950
26.4874,-200,STEP-200,53.2,413.2,1.5,1,7950
26.5883,-200,STEP-200,52.3,412.3,1.5,1,7950
26.6954,-200,STEP-200,51.3,411.3,1.5,1,7950
26.7953,-200,STEP-200,50.4,410.4,1.5,1,7950
26.8937,-200,STEP-200,49.5,409.5,1.5,1,7949
26.9947,-200,STEP-200,48.5,408.5,1.5,1,7949
27.0853,-200,STEP-200,47.5,407.5,1.5,1,7949
27.1868,-200,STEP-200,46.6,406.6,1.5,1,7949
27.2881,-200,STEP-200,45.6,405.6,1.5,1,7949
27.3952,-200,STEP-200,44.6,404.6,1.5,1,7949
27.4955,-200,STEP-200,43.7,403.7,1.5,1,7949
27.5962,-200,STEP-200,42.7,402.7,1.5,1,7949
27.7857,-200,STEP-200,40.8,400.8,1.5,1,7949
27.9889,-200,STEP-200,38.8,398.8,1.5,1,7947
28.0899,-200,STEP-200,37.9,397.9,1.5,1,7947
28.1812,-200,STEP-200,37.0,397.0,1.5,1,7947
28.2827,-200,STEP-200,36.1,396.1,1.5,1,7947
28.3959,-200,STEP-200,35.1,395.1,1.5,1,7947
28.4966,-200,STEP-200,34.2,394.2,1.5,1,7947
28.6886,-200,STEP-200,32.3,392.3,1.5,1,7947
28.7901,-200,STEP-200,31.3,391.3,1.5,1,7947
28.8813,-200,STEP-200,30.4,390.4,1.5,1,7944
28.9828,-200,STEP-200,29.4,389.4,1.5,1,7944
29.0846,-300,STEP-300,28.4,388.4,1.5,1,7944
29.186,-300,STEP-300,26.7,386.7,1.5,1,7944
29.2876,-300,STEP-300,25.0,385.0,1.5,1,7944
29.3892,-300,STEP-300,23.3,383.3,1.5,1,7944
29.4912,-300,STEP-300,21.6,381.6,1.5,1,7944
29.5821,-300,STEP-300,19.9,379.9,1.5,1,7944
29.684,-300,STEP-300,18.2,378.2,1.5,1,7944
29.7854,-300,STEP-300,16.5,376.5,1.5,1,7944
29.8868,-300,STEP-300,14.8,374.8,1.5,1,7943
29.9578,-300,STEP-300,13.1,373.1,1.5,1,7943
30.0899,-300,STEP-300,11.4,371.4,1.5,1,7943
30.1914,-300,STEP-300,9.8,369.8,1.5,1,7943
30.2829,-300,STEP-300,8.1,368.1,1.5,1,7943
30.3842,-300,STEP-300,6.4,366.4,1.5,1,7943
30.4759,-300,STEP-300,4.7,364.7,1.5,1,7943
30.5908,-300,STEP-300,3.0,363.0,1.5,1,7943
30.6886,-300,STEP-300,1.3,361.3,1.5,1,7943
30.7901,-300,STEP-300,-0.3,359.7,1.5,1,7943
30.8815,-300,STEP-300,-2.0,358.0,1.5,1,7943
30.9828,-300,STEP-300,-3.7,356.3,1.5,1,7943
31.0842,-300,STEP-300,-5.3,354.7,1.5,1,7943
31.2904,-300,STEP-300,-8.7,351.3,1.5,1,7943
31.3897,-300,STEP-300,-10.4,349.6,1.5,1,7943
31.4912,-300,STEP-300,-12.1,347.9,1.5,1,7943
31.5834,-300,STEP-300,-13.8,346.2,1.5,1,7943
31.785,-300,STEP-300,-17.1,342.9,1.5,1,7943
31.8773,-300,STEP-300,-18.8,341.2,1.5,1,7943
31.9887,-300,STEP-300,-20.5,339.5,1.5,1,7943
32.0904,-400,STEP-400,-22.2,337.8,1.5,1,7943
32.182,-400,STEP-400,-24.4,335.6,1.5,1,7943
32.2832,-400,STEP-400,-27.0,333.0,1.5,1,7943
32.3847,-400,STEP-400,-29.6,330.4,1.5,1,7943
32.4862,-400,STEP-400,-32.1,327.9,1.5,1,7943
32.5876,-400,STEP-400,-34.6,325.4,1.5,1,7943
32.6898,-400,STEP-400,-37.1,322.9,1.5,1,7943
32.7809,-400,STEP-400,-39.6,320.4,1.5,1,7941
32.883,-400,STEP-400,-42.1,317.9,1.5,1,7941
32.9839,-400,STEP-400,-44.7,315.3,1.5,1,7941
33.0854,-400,STEP-400,-47.2,312.8,1.5,1,7941
33.1868,-400,STEP-400,-49.7,310.3,1.5,1,7941
33.2881,-400,STEP-400,-52.3,307.7,1.5,1,7941
33.3896,-400,STEP-400,-54.8,305.2,1.5,1,7941
33.4812,-400,STEP-400,-57.3,302.7,1.5,1,7941
33.5722,-400,STEP-400,-59.8,300.2,1.5,1,7941
33.6861,-400,STEP-400,-62.4,297.6,1.5,1,7941
33.7676,-400,STEP-400,-64.9,295.1,1.5,1,7940
33.8881,-400,STEP-400,-67.4,292.6,1.5,1,7940
33.9592,-400,STEP-400,-69.9,290.1,1.5,1,7940
34.0808,-400,STEP-400,-72.4,287.6,1.5,1,7940
34.2674,-400,STEP-400,-77.4,282.6,1.5,1,7940
34.3852,-400,STEP-400,-80.0,280.0,1.5,1,7940
34.5883,-400,STEP-400,-85.1,274.9,1.5,1,7940
34.6898,-400,STEP-400,-87.6,272.4,1.5,1,7940
34.7816,-400,STEP-400,-90.1,269.9,1.5,1,7938
34.8828,-400,STEP-400,-92.6,267.4,1.5,1,7938
34.9841,-400,STEP-400,-95.1,264.9,1.5,1,7938
35.0857,-500,STEP-500,-97.6,262.4,1.5,1,7938
35.2886,-500,STEP-500,-104.1,255.9,1.5,1,7938
35.39,-500,STEP-500,-107.6,252.4,1.5,1,7938
35.4814,-500,STEP-500,-111.0,249.0,1.5,1,7938
35.5828,-500,STEP-500,-114.4,245.6,1.5,1,7938
35.6848,-500,STEP-500,-117.8,242.2,1.5,1,7938
35.7875,-500,STEP-500,-121.3,238.7,1.5,1,7937
35.8871,-500,STEP-500,-124.7,235.3,1.5,1,7937
35.9886,-500,STEP-500,-128.1,231.9,1.5,1,7937
36.0899,-500,STEP-500,-131.6,228.4,1.5,1,7937
36.1813,-500,STEP-500,-135.0,225.0,1.5,1,7937
36.2928,-500,STEP-500,-138.4,221.6,1.5,1,7937
36.3839,-500,STEP-500,-141.8,218.2,1.5,1,7937
36.4861,-500,STEP-500,-145.3,214.7,1.5,1,7937
36.5874,-500,STEP-500,-148.7,211.3,1.5,1,7937
36.6892,-500,STEP-500,-152.2,207.8,1.5,1,7937
36.7904,-500,STEP-500,-155.6,204.4,1.5,1,7936
36.8817,-500,STEP-500,-159.0,201.0,1.5,1,7936
36.9831,-500,STEP-500,-162.4,197.6,1.5,1,7936
37.0749,-500,STEP-500,-165.8,194.2,1.5,1,7936
37.1905,-500,STEP-500,-169.3,190.7,1.5,1,7936
37.2874,-500,STEP-500,-172.7,187.3,1.5,1,7936
37.3886,-500,STEP-500,-176.1,183.9,1.5,1,7936
37.49,-500,STEP-500,-179.5,180.5,1.5,1,7936
37.5812,-500,STEP-500,176.9,176.9,1.5,1,7936
37.6827,-500,STEP-500,173.5,173.5,1.5,1,7936
37.754,-500,STEP-500,170.0,170.0,1.5,1,7936
37.8863,-500,STEP-500,166.6,166.6,1.5,1,7936
37.9573,-500,STEP-500,163.2,163.2,1.5,1,7936
38.0888,-660,STEP-660,159.5,159.5,1.5,1,7936
38.1899,-660,STEP-660,154.5,154.5,1.5,1,7936
38.2813,-660,STEP-660,149.4,149.4,1.5,1,7936
38.3828,-660,STEP-660,144.4,144.4,1.5,1,7936
38.4743,-660,STEP-660,139.4,139.4,1.5,1,7936
38.5858,-660,STEP-660,134.4,134.4,1.5,1,7936
38.6883,-660,STEP-660,129.4,129.4,1.5,1,7936
38.7888,-660,STEP-660,124.4,124.4,1.5,1,7934
38.8906,-660,STEP-660,119.4,119.4,1.5,1,7934
39.0938,-660,STEP-660,109.4,109.4,1.5,1,7934
39.1847,-660,STEP-660,104.4,104.4,1.5,1,7934
39.2861,-660,STEP-660,99.4,99.4,1.5,1,7934
39.3875,-660,STEP-660,94.4,94.4,1.5,1,7934
39.4893,-660,STEP-660,89.5,89.5,1.5,1,7934
39.5836,-660,STEP-660,84.5,84.5,1.5,1,7934
39.6731,-660,STEP-660,79.5,79.5,1.5,1,7934
39.7848,-660,STEP-660,74.6,74.6,1.5,1,7934
39.9902,-660,STEP-660,64.7,64.7,1.5,1,7934
40.0892,-660,STEP-660,59.7,59.7,1.5,1,7934
40.1906,-660,STEP-660,54.7,54.7,1.5,1,7934
40.282,-660,STEP-660,49.7,49.7,1.5,1,7934
40.4848,-660,STEP-660,39.6,39.6,1.5,1,7934
40.5861,-660,STEP-660,34.6,34.6,1.5,1,7934
40.6877,-660,STEP-660,29.5,29.5,1.5,1,7934
40.789,-660,STEP-660,24.4,24.4,1.5,1,7933
40.8903,-660,STEP-660,19.4,19.4,1.5,1,7933
40.9816,-660,STEP-660,14.4,14.4,1.5,1,7933
41.0839,0,ZERO,9.5,9.5,1.5,1,7933
41.185,0,ZERO,9.0,9.0,1.5,1,7933
41.3882,0,ZERO,9.4,9.4,1.5,1,7933
41.4895,0,ZERO,9.4,9.4,1.5,1,7933
41.581,0,ZERO,9.3,9.3,1.5,1,7933
41.6927,0,ZERO,9.3,9.3,1.5,1,7933
41.8856,0,ZERO,9.3,9.3,1.5,1,7933
41.987,0,ZERO,9.3,9.3,1.5,1,7933
42.0891,0,ZERO,9.3,9.3,1.5,1,7933
42.1903,0,ZERO,9.2,9.2,1.5,1,7933
42.2813,0,ZERO,9.3,9.3,1.5,1,7933
42.3859,0,ZERO,9.3,9.3,1.5,1,7933
42.4847,0,ZERO,9.2,9.2,1.5,1,7933
42.5884,0,ZERO,9.2,9.2,1.5,1,7933
42.6602,0,ZERO,9.2,9.2,1.5,1,7933
42.7896,0,ZERO,9.2,9.2,1.5,1,7933
42.8908,0,ZERO,9.3,9.3,1.5,1,7934
42.9922,0,ZERO,9.3,9.3,1.5,1,7934
43.0831,660,PRBS,9.5,9.5,1.5,1,7934
43.1848,660,PRBS,13.6,13.6,1.5,1,7934
43.2878,660,PRBS,18.8,18.8,1.5,1,7934
43.3875,660,PRBS,23.9,23.9,1.5,1,7934
43.4891,660,PRBS,29.0,29.0,1.5,1,7934
43.59,660,PRBS,33.9,33.9,1.5,1,7934
43.6815,660,PRBS,38.7,38.7,1.5,1,7934
43.7832,660,PRBS,43.4,43.4,1.5,1,7934
43.8849,660,PRBS,48.2,48.2,1.5,1,7930
43.9865,660,PRBS,53.0,53.0,1.5,1,7930
44.1894,660,PRBS,62.7,62.7,1.5,1,7930
44.2911,660,PRBS,67.6,67.6,1.5,1,7930
44.3823,660,PRBS,72.6,72.6,1.5,1,7930
44.4947,660,PRBS,77.5,77.5,1.5,1,7930
44.5866,660,PRBS,82.6,82.6,1.5,1,7930
44.6871,660,PRBS,87.7,87.7,1.5,1,7930
44.7922,660,PRBS,92.8,92.8,1.5,1,7930
44.8903,660,PRBS,98.0,98.0,1.5,1,7927
44.9817,660,PRBS,103.1,103.1,1.5,1,7927
45.0832,660,PRBS,108.3,108.3,1.5,1,7927
45.2874,-660,PRBS,112.5,112.5,1.5,1,7927
45.389,-660,PRBS,107.7,107.7,1.5,1,7927
45.5917,-660,PRBS,97.2,97.2,1.5,1,7927
45.683,-660,PRBS,92.1,92.1,1.5,1,7927
45.7852,-660,PRBS,87.1,87.1,1.5,1,7927
45.8662,-660,PRBS,82.1,82.1,1.5,1,7927
45.9883,-660,PRBS,77.2,77.2,1.5,1,7926
46.0897,-660,PRBS,72.2,72.2,1.5,1,7926
46.1811,-660,PRBS,67.2,67.2,1.5,1,7926
46.2825,-660,PRBS,62.3,62.3,1.5,1,7926
46.4872,-660,PRBS,52.4,52.4,1.5,1,7926
46.5888,-660,PRBS,47.5,47.5,1.5,1,7926
46.6908,-660,PRBS,42.5,42.5,1.5,1,7926
46.7819,-660,PRBS,37.6,37.6,1.5,1,7926
46.8832,-660,PRBS,32.6,32.6,1.5,1,7926
46.9851,660,PRBS,27.6,27.6,1.5,1,7926
47.1883,660,PRBS,34.3,34.3,1.5,1,7926
47.3813,-660,PRBS,39.4,39.4,1.5,1,7926
47.4828,-660,PRBS,34.6,34.6,1.5,1,7926
47.5845,-660,PRBS,29.4,29.4,1.5,1,7926
47.6858,-660,PRBS,24.2,24.2,1.5,1,7926
47.7816,-660,PRBS,19.0,19.0,1.5,1,7926
